client_id,probability,risk_category
41194,0.7503341057532174,Высокая вероятность возврата
11708,0.7503341057532174,Высокая вероятность возврата
30142,0.7503341057532174,Высокая вероятность возврата
11700,0.7503341057532174,Высокая вероятность возврата
36651,0.7466778948286069,Высокая вероятность возврата
23133,0.7466778948286069,Высокая вероятность возврата
5814,0.7466778948286069,Высокая вероятность возврата
11699,0.7466778948286069,Высокая вероятность возврата
36808,0.7466778948286069,Высокая вероятность возврата
517,0.7466778948286069,Высокая вероятность возврата
24037,0.7466778948286069,Высокая вероятность возврата
5329,0.7466778948286069,Высокая вероятность возврата
9705,0.7466778948286069,Высокая вероятность возврата
29174,0.7466778948286069,Высокая вероятность возврата
13219,0.7466778948286069,Высокая вероятность возврата
31100,0.7466778948286069,Высокая вероятность возврата
14352,0.7466778948286069,Высокая вероятность возврата
9069,0.7466778948286069,Высокая вероятность возврата
21318,0.7466778948286069,Высокая вероятность возврата
18219,0.7466778948286069,Высокая вероятность возврата
1841,0.7466778948286069,Высокая вероятность возврата
10902,0.7466778948286069,Высокая вероятность возврата
31834,0.7466778948286069,Высокая вероятность возврата
4759,0.7466778948286069,Высокая вероятность возврата
5298,0.7466778948286069,Высокая вероятность возврата
2657,0.7466778948286069,Высокая вероятность возврата
34893,0.7466778948286069,Высокая вероятность возврата
30451,0.7466778948286069,Высокая вероятность возврата
15519,0.7466778948286069,Высокая вероятность возврата
35469,0.7466778948286069,Высокая вероятность возврата
11988,0.7466778948286069,Высокая вероятность возврата
30430,0.7466778948286069,Высокая вероятность возврата
723,0.7466778948286069,Высокая вероятность возврата
3192,0.7466778948286069,Высокая вероятность возврата
23472,0.7466778948286069,Высокая вероятность возврата
30292,0.7466778948286069,Высокая вероятность возврата
26772,0.7466778948286069,Высокая вероятность возврата
9022,0.7466778948286069,Высокая вероятность возврата
21262,0.7466778948286069,Высокая вероятность возврата
23815,0.7466778948286069,Высокая вероятность возврата
21189,0.7466778948286069,Высокая вероятность возврата
31394,0.7466778948286069,Высокая вероятность возврата
11723,0.7466778948286069,Высокая вероятность возврата
28413,0.7466778948286069,Высокая вероятность возврата
6505,0.7466778948286069,Высокая вероятность возврата
10547,0.7466778948286069,Высокая вероятность возврата
8912,0.7466778948286069,Высокая вероятность возврата
4017,0.7466778948286069,Высокая вероятность возврата
6484,0.7466778948286069,Высокая вероятность возврата
29903,0.7466778948286069,Высокая вероятность возврата
12532,0.7466778948286069,Высокая вероятность возврата
36372,0.7466778948286069,Высокая вероятность возврата
7901,0.7436864997872547,Высокая вероятность возврата
17611,0.7396790376131892,Высокая вероятность возврата
32618,0.7396790376131892,Высокая вероятность возврата
13940,0.7396790376131892,Высокая вероятность возврата
38875,0.7396790376131892,Высокая вероятность возврата
5092,0.7396790376131892,Высокая вероятность возврата
19865,0.7396790376131892,Высокая вероятность возврата
22884,0.7396790376131892,Высокая вероятность возврата
37415,0.7396790376131892,Высокая вероятность возврата
38342,0.7396790376131892,Высокая вероятность возврата
33176,0.7396790376131892,Высокая вероятность возврата
24544,0.7396790376131892,Высокая вероятность возврата
24611,0.7396790376131892,Высокая вероятность возврата
1589,0.7396790376131892,Высокая вероятность возврата
33337,0.7396790376131892,Высокая вероятность возврата
31634,0.7396790376131892,Высокая вероятность возврата
17407,0.7396790376131892,Высокая вероятность возврата
10926,0.7396790376131892,Высокая вероятность возврата
23372,0.7396790376131892,Высокая вероятность возврата
14782,0.7396790376131892,Высокая вероятность возврата
25265,0.7396790376131892,Высокая вероятность возврата
13919,0.7396790376131892,Высокая вероятность возврата
8248,0.7396790376131892,Высокая вероятность возврата
17476,0.7396790376131892,Высокая вероятность возврата
9931,0.7396790376131892,Высокая вероятность возврата
38402,0.7396790376131892,Высокая вероятность возврата
37359,0.7396790376131892,Высокая вероятность возврата
21945,0.7396790376131892,Высокая вероятность возврата
32118,0.7396790376131892,Высокая вероятность возврата
29179,0.7396790376131892,Высокая вероятность возврата
29178,0.7396790376131892,Высокая вероятность возврата
5145,0.7396790376131892,Высокая вероятность возврата
37381,0.7396790376131892,Высокая вероятность возврата
39079,0.7396790376131892,Высокая вероятность возврата
8789,0.7396790376131892,Высокая вероятность возврата
9148,0.7396790376131892,Высокая вероятность возврата
32109,0.7396790376131892,Высокая вероятность возврата
30281,0.7396790376131892,Высокая вероятность возврата
27020,0.7396790376131892,Высокая вероятность возврата
10851,0.7396790376131892,Высокая вероятность возврата
40344,0.7396790376131892,Высокая вероятность возврата
19723,0.7396790376131892,Высокая вероятность возврата
39709,0.7396790376131892,Высокая вероятность возврата
8273,0.7396790376131892,Высокая вероятность возврата
22735,0.7396790376131892,Высокая вероятность возврата
40881,0.7396790376131892,Высокая вероятность возврата
23367,0.7396790376131892,Высокая вероятность возврата
33319,0.7396790376131892,Высокая вероятность возврата
2018,0.7396790376131892,Высокая вероятность возврата
5233,0.7396790376131892,Высокая вероятность возврата
23746,0.7396790376131892,Высокая вероятность возврата
15349,0.7396790376131892,Высокая вероятность возврата
27834,0.7396790376131892,Высокая вероятность возврата
13466,0.7396790376131892,Высокая вероятность возврата
6579,0.7396790376131892,Высокая вероятность возврата
39947,0.7396790376131892,Высокая вероятность возврата
38241,0.7396790376131892,Высокая вероятность возврата
26186,0.7396790376131892,Высокая вероятность возврата
31445,0.7396790376131892,Высокая вероятность возврата
32304,0.7396790376131892,Высокая вероятность возврата
35176,0.7396790376131892,Высокая вероятность возврата
19443,0.7396790376131892,Высокая вероятность возврата
